Metric,FY2024,FY2025,FY2026
Revenue,1000,1180,1390
Other Income,20,24,28
COGS,600,690,800
EBITDA,210,250,300
Depreciation,55,60,65
EBIT,155,190,235
Interest,35,34,32
PBT,120,156,203
Tax,30,39,51
PAT,90,117,152
Cash,90,110,145
Receivables,150,175,205
Inventory,180,195,225
Current Assets,470,535,620
Current Liabilities,350,365,390
Total Assets,1500,1650,1840
Equity,600,690,805
Borrowings,500,480,450
Net Debt,410,370,305
PPE,700,770,840
Intangibles,80,85,90
Retained Earnings,250,320,435
CFO,150,175,220
CFI,-100,-120,-130
CFF,-40,-35,-55
Capex,100,120,130
Working Capital,120,170,230
